Prompt,Response
Write a function to find the shared elements from the given two lists.,"Input:

list1 = [1, 2, 3, 4, 5]

list2 = [4, 5, 6, 7, 8]

Output:

[4, 5]"
Write a python function to identify non-prime numbers.,"def non_prime(num):
    if num > 1:
        for i in range(2, num):
            if (num % i) == 0:
                print(num, ""is not a prime number"")
                break
        else:
            print(num, ""is a prime number"")
    else:
        print(num, ""is not a prime number"")


non_prime(11)"
"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","Example:

largest(2, [7,6,5,4,3,2,1])
// => [7,6]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10,10,10,10,2,3,4,5,6,7,8,9,10])
// => [10,10,10]

largest(3, [10"
Write a python function to check whether the two numbers differ at one bit position only or not.,"Input:

Input consists of two integers.

First Line: First integer

Second Line: Second integer

Output:

Print ""yes"" if the two numbers differ at one bit position only.

Print ""no"" if the two numbers do not differ at one bit position only.

Sample Input:

10

12

Sample Output:

yes

Explanation:

Binary representation of 10 is 1010 and binary representation of 12 is 1100.

The two numbers differ at one bit position only.

Sample Input:

10

10

Sample Output:

no

Explanation:

Binary representation of 10 is 1010 and binary representation of 10 is 1010.

The two numbers do not differ at one bit position only.

Sample Input:

10

15

Sample Output:

no

Explanation:

Binary representation of 10 is 1010 and binary representation of 15 is 1111.

The two numbers do not differ at one bit position only.

Sample Input:

10

11

Sample Output:

yes

Explanation:

Binary representation of 10 is 1010 and binary representation of 11 is 1011.

The two numbers differ at one bit position only.

Sample Input:

10

13

Sample Output:

yes

Explanation:

Binary representation of 10 is 1010 and binary representation of 13 is 1101.

The two numbers differ at one bit position only.

Sample Input:

10

14

Sample Output:

yes

Explanation:

Binary representation of 10 is 1010 and binary representation of 14 is 1110.

The two numbers differ at one bit position only.

Sample Input:

10

16

Sample Output:

no

Explanation:

Binary representation of 10 is 101"
Write a function to find all words which are at least 4 characters long in a string.,"Return the result as a string in the same sequence as they appear in the original string.

Example:

Input: ""The quick brown fox jumps over the lazy dog""
Output: ""brown fox jumps lazy""

*/

function findLongWords(str) {
  let words = str.split("" "");
  let result = [];
  for (let i = 0; i < words.length; i++) {
    if (words[i].length >= 4) {
      result.push(words[i]);
    }
  }
  return result.join("" "");
}

console.log(findLongWords(""The quick brown fox jumps over the lazy dog""));"
Write a function to find squares of individual elements in a list.,"Input:

[1,2,3,4,5]

Output:

[1,4,9,16,25]"
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"Input:

str = ""geeks""
Output: 5
Explanation:

After 1 rotation, the string becomes ""eeksg"".
After 2 rotations, the string becomes ""eeksge"".
After 3 rotations, the string becomes ""eeksg"".
After 4 rotations, the string becomes ""geeks"".
After 5 rotations, the string becomes ""geeks""."
Write a python function to remove first and last occurrence of a given character from the string.,"Input:

string = ""abcdabcd""

character = 'a'

Output:

""bcdbcd"""
Write a function to sort a given matrix in ascending order according to the sum of its rows.,"Example

For

matrix = [[1, 3],
          [9, 2],
          [4, 6]]
the output should be

sortByRows(matrix) = [[1, 3],
                      [9, 2],
                      [4, 6]]

Input/Output

[execution time limit] 4 seconds (py3)

[input] array.array.integer matrix

2-dimensional array of integers representing a matrix.

Guaranteed constraints:
1 ≤ matrix.length ≤ 10,
1 ≤ matrix[i].length ≤ 10,
1 ≤ matrix[i][j] ≤ 10.

[output] array.array.integer

Sorted matrix."
Write a python function to find the volume of a triangular prism.,
Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"Examples

valid(""aabc_abc"") ➞ true

valid(""aabc_abcc"") ➞ false

valid(""abcabcabcabc"") ➞ true

valid(""Abcabcabcabc"") ➞ false

valid(""abcABCabcABC"") ➞ true

valid(""abcABCabcABC"") ➞ false

Notes

N/A"
Write a function that returns the perimeter of a square given its side length as input.,"Examples
squarePerimeter(1) ➞ 4

squarePerimeter(2) ➞ 8

squarePerimeter(5) ➞ 20

Notes
N/A"
